X,Y
0,1
0.01,0.955964867
0.02,0.915611505
0.03,0.878594608
0.04,0.844601682
0.05,0.813349919
0.06,0.784583375
0.07,0.758070413
0.08,0.733601393
0.09,0.710986575
0.1,0.690054227
0.11,0.670648915
0.12,0.652629947
0.13,0.635869976
0.14,0.620253727
0.15,0.60567685
0.16,0.592044881
0.17,0.5792723
0.18,0.567281682
0.19,0.556002928
0.2,0.545372565
0.21,0.535333119
0.22,0.525832542
0.23,0.516823699
0.24,0.508263898
0.25,0.500114469
0.26,0.492340383
0.27,0.484909902
0.28,0.47779427
0.29,0.470967429
0.3,0.46440576
0.31,0.458087855
0.32,0.451994304
0.33,0.446107507
0.34,0.440411502
0.35,0.434891807
0.36,0.429535285
0.37,0.424330009
0.38,0.419265154
0.39,0.414330889
0.4,0.409518283
0.41,0.40481922
0.42,0.400226323
0.43,0.39573288
0.44,0.391332789
0.45,0.38702049
0.46,0.382790922
0.47,0.378639472
0.48,0.374561934
0.49,0.37055447
0.5,0.366613575
0.51,0.362736046
0.52,0.358918955
0.53,0.355159619
0.54,0.351455584
0.55,0.347804595
0.56,0.344204584
0.57,0.340653649
0.58,0.337150042
0.59,0.333692149
0.6,0.330278483
0.61,0.326907669
0.62,0.323578435
0.63,0.320289603
0.64,0.317040077
0.65,0.313828842
0.66,0.310654948
0.67,0.307517511
0.68,0.304415705
0.69,0.301348756
0.7,0.298315935
0.71,0.29531656
0.72,0.292349988
0.73,0.28941561
0.74,0.28651285
0.75,0.283641165
0.76,0.280800037
0.77,0.277988972
0.78,0.275207501
0.79,0.272455175
0.8,0.269731564
0.81,0.267036255
0.82,0.264368854
0.83,0.261728979
0.84,0.259116261
0.85,0.256530347
0.86,0.253970892
0.87,0.251437564
0.88,0.24893004
0.89,0.246448007
0.9,0.24399116
0.91,0.241559201
0.92,0.23915184
0.93,0.236768796
0.94,0.234409791
0.95,0.232074555
0.96,0.229762823
0.97,0.227474336
0.98,0.22520884
0.99,0.222966084
1,0.220745825
1.01,0.21854782
1.02,0.216371832
1.03,0.21421763
1.04,0.212084982
1.05,0.209973664
1.06,0.207883453
1.07,0.205814128
1.08,0.203765475
1.09,0.20173728
1.1,0.199729331
1.11,0.197741422
1.12,0.195773346
1.13,0.193824903
1.14,0.191895891
1.15,0.189986114
1.16,0.188095375
1.17,0.186223482
1.18,0.184370245
1.19,0.182535475
1.2,0.180718985
1.21,0.178920591
1.22,0.177140112
1.23,0.175377367
1.24,0.173632178
1.25,0.171904369
1.26,0.170193765
1.27,0.168500194
1.28,0.166823485
1.29,0.165163469
1.3,0.16351998
1.31,0.161892852
1.32,0.160281921
1.33,0.158687027
1.34,0.157108007
1.35,0.155544705
1.36,0.153996962
1.37,0.152464625
1.38,0.150947538
1.39,0.14944555
1.4,0.147958511
1.41,0.146486271
1.42,0.145028682
1.43,0.1435856
1.44,0.142156878
1.45,0.140742375
1.46,0.139341947
1.47,0.137955456
1.48,0.136582762
1.49,0.135223729
1.5,0.133878218
1.51,0.132546097
1.52,0.131227232
1.53,0.129921491
1.54,0.128628743
1.55,0.127348859
1.56,0.12608171
1.57,0.12482717
1.58,0.123585114
1.59,0.122355417
1.6,0.121137956
1.61,0.119932609
1.62,0.118739256
1.63,0.117557778
1.64,0.116388056
1.65,0.115229972
1.66,0.114083413
1.67,0.112948262
1.68,0.111824406
1.69,0.110711733
1.7,0.109610131
1.71,0.108519491
1.72,0.107439702
1.73,0.106370658
1.74,0.105312251
1.75,0.104264376
1.76,0.103226927
1.77,0.102199802
1.78,0.101182896
1.79,0.100176109
1.8,0.099179339
1.81,0.098192488
1.82,0.097215456
1.83,0.096248145
1.84,0.09529046
1.85,0.094342303
1.86,0.093403582
1.87,0.0924742
1.88,0.091554066
1.89,0.090643088
1.9,0.089741174
1.91,0.088848234
1.92,0.087964179
1.93,0.087088921
